,id_mutation,valeur_fonciere,surface_reelle_bati,prix_m2,nombre_pieces_principales,type_local,longitude,latitude,date_mutation
27047,2018-1400833,240000.0,28,8571,2,appartement,2.337501,48.895622,2018-05-07
125621,2019-1088739,195000.0,31,6290,2,appartement,2.316725,48.89338,2019-06-21
116131,2019-1070141,367000.0,35,10485,2,appartement,2.342978,48.87842,2019-05-14
98651,2019-1083348,270000.0,60,4500,3,appartement,2.262728,48.84883,2019-02-26
93276,2019-1096001,684000.0,78,8769,4,appartement,2.379598,48.883793,2019-02-01
31615,2018-1369884,900000.0,72,12500,4,appartement,2.338303,48.839615,2018-05-31
57200,2018-1383296,185000.0,19,9736,1,appartement,2.3691720000000003,48.82708,2018-09-05
160571,2019-1094905,242000.0,30,8066,2,appartement,2.346687,48.89379,2019-11-04
42531,2018-1388763,150000.0,22,6818,1,appartement,2.301311,48.84144600000001,2018-07-06
38400,2018-1409685,150000.0,20,7500,2,appartement,2.354751,48.859737,2018-06-27
